municipio,domicilios,domicilios_crianca_fora_da_escola,domicilios_crianca_com_atraso_escolar,domicilios_com_trabalho_infantil,criancas_ate_11_anos,criancas_ate_11_anos_pobres_vulneraveis
Guaraciama,1440,27,23,40,839,453
Guaranésia,6112,55,125,53,2940,773
Guarani,2746,74,97,25,1332,618
Guarará,1269,12,31,7,655,234
Guarda-Mor,2098,55,75,23,1247,746
Guaxupé,15800,177,273,81,7545,1632
Guidoval,2318,41,54,51,1133,418
Guimarânia,2261,35,73,39,1333,440
Guiricema,2924,58,55,64,1244,756
Gurinhatã,2243,57,53,65,924,539
Heliodora,1986,34,41,6,1048,414
Iapu,3297,83,89,43,1816,942
Ibertioga,1551,31,49,18,852,449
Ibiá,7747,89,110,33,4019,1071
Ibiaí,2237,106,199,68,1680,1285
Ibiracatu,1665,72,175,37,1284,999
Ibiraci,3789,103,93,70,2309,819
Ibirité,46400,548,905,248,32309,7539
Ibitiúra de Minas,1168,59,13,16,539,227
Ibituruna,886,2,21,2,524,131
Icaraí de Minas,2559,210,244,190,2321,1868
Igarapé,10491,169,372,69,6790,2650
Igaratinga,2790,149,100,87,1711,573
Iguatama,2748,29,71,29,1042,286
Ijaci,1692,21,22,4,1065,252
Ilicínea,3646,61,68,42,2067,576
Imbé de Minas,1923,85,128,80,1283,1039
Inconfidentes,2253,52,78,32,990,427
Indaiabira,1944,125,196,73,1470,1209
Indianópolis,1951,40,92,22,1190,635
Ingaí,814,27,30,25,453,262
Inhapim,7726,308,291,331,4374,2737
Inhaúma,1656,45,78,22,1028,510
Inimutaba,2056,59,85,19,1185,698
Ipaba,5079,125,150,73,3546,1375
Ipanema,6065,95,188,89,3087,1447
Ipatinga,73726,574,663,198,40334,6223
Ipiaçu,1420,8,17,5,628,128
Ipuiúna,3069,83,50,79,1564,788
Iraí de Minas,2016,63,63,32,1221,419
Itabira,31930,254,608,241,18078,4523
Itabirinha,3277,119,134,26,1981,1018
Itabirito,13419,79,307,52,7655,1366
Itacambira,1289,97,78,34,952,764
Itacarambi,4384,259,428,103,4108,2930
Itaguara,4055,66,62,68,1964,559
Itaipé,3081,213,426,190,2914,2391
Itajubá,28495,128,307,44,14321,2526
Itamarandiba,9106,325,566,366,7284,4419
Itamarati de Minas,1301,7,37,5,508,170
Itambacuri,6625,219,539,226,4707,3049
Itambé do Mato Dentro,694,15,30,5,350,244
Itamogi,3465,66,71,42,1594,589
Itamonte,4296,50,158,87,2324,1020
Itanhandu,4410,51,57,19,2302,481
Itanhomi,3826,125,114,54,2082,738
Itaobim,6244,164,624,196,4106,2748
Itapagipe,4578,69,123,69,1781,626
Itapecerica,7030,119,114,89,3115,903
Itapeva,2806,56,88,36,1444,730
Itatiaiuçu,3078,55,188,35,1829,779
Itaú de Minas,4803,15,16,9,2331,340
Itaúna,27122,154,201,151,12943,1748
Itaverava,1650,60,138,61,1093,837
Itinga,3790,141,477,110,3156,2303
Itueta,1860,24,61,35,985,479
Ituiutaba,32707,172,305,262,14945,3242
Itumirim,1862,28,30,10,994,401
Iturama,11403,62,161,52,5877,1227
Itutinga,1312,15,30,28,627,291
Jaboticatubas,5482,131,361,85,2974,1928
Jacinto,3795,90,157,56,2255,1363
Jacuí,2540,40,72,54,1238,624
Jacutinga,7217,112,71,77,3889,1028
Jaguaraçu,906,11,19,6,504,172
Jaíba,8991,482,665,344,7838,5337
Jampruca,1505,28,122,44,1002,676
Janaúba,18617,638,1212,450,13220,8132
Januária,17603,867,1429,493,14474,10560
Japaraíba,1202,24,35,33,753,210
Japonvar,2315,91,120,93,1642,1204
Jeceaba,1686,25,74,21,805,407
Jenipapo de Minas,1761,73,238,38,1531,1170
Jequeri,4088,186,235,83,2198,1449
Jequitaí,2529,97,137,42,1383,989
Jequitibá,1590,52,79,75,892,677
Jequitinhonha,7238,298,666,248,4934,3565
Jesuânia,1570,36,59,26,710,295
Joaíma,4166,230,428,175,3364,2286
Joanésia,1674,37,103,43,849,614
João Monlevade,22292,147,166,0,11687,2191
João Pinheiro,13836,469,483,335,8641,3224
Joaquim Felício,1255,52,96,34,789,518
Jordânia,3048,121,220,74,2053,1310
José Gonçalves de Minas,1147,59,97,84,992,697
José Raydan,1302,46,131,49,854,653
Josenópolis,1209,109,85,57,1160,799
Nova União,1680,16,75,46,986,506
Juatuba,6895,62,336,42,4239,1522
Juiz de Fora,172973,1297,2375,735,75207,13559
Juramento,1204,30,49,48,787,443
Juruaia,2847,138,99,174,1504,818
Juvenília,1515,116,146,22,1289,991
Ladainha,4306,357,536,192,4189,3704
Lagamar,2690,25,51,38,1197,402
Lagoa da Prata,14331,106,130,129,7882,1455
Lagoa dos Patos,1195,51,115,35,860,637
Lagoa Dourada,3287,83,137,43,2333,1152
Lagoa Formosa,5672,75,71,119,2655,839
Lagoa Grande,2827,74,49,59,1620,865
Lagoa Santa,15875,328,358,114,9279,2968
Lajinha,6180,212,264,134,3729,2401
Lambari,6458,136,169,79,3341,1362
Lamim,1068,16,75,20,620,462
Laranjal,2093,33,53,7,912,280
Lassance,1991,75,161,78,1331,978
Lavras,29381,110,263,69,14335,2312
Leandro Ferreira,1038,27,10,9,558,222
Leme do Prado,1330,16,97,16,962,466
Leopoldina,16675,133,419,47,8091,2664
Liberdade,1727,18,57,22,784,361
Lima Duarte,5477,50,166,32,2570,883
Limeira do Oeste,2351,16,54,11,1127,491
Lontra,2335,109,152,61,1663,1159
Luisburgo,1898,116,72,123,1282,1029
Luislândia,1700,92,110,53,1444,1173
Luminárias,1792,28,43,7,941,342
Luz,5919,74,120,20,2737,770
Machacalis,2185,82,91,16,1402,696
Machado,11662,302,194,120,6990,2596
Madre de Deus de Minas,1527,27,25,6,767,300
Malacacheta,5522,260,404,142,3765,2546
Mamonas,1982,53,56,59,962,680
Manga,5191,244,621,92,4639,3729
Manhuaçu,24386,532,692,516,16054,6322
Manhumirim,6917,144,227,130,4078,1868
Mantena,9155,224,227,108,4698,1514
Maravilhas,2061,57,93,35,1317,511
Mar de Espanha,3943,74,90,48,1786,533
Maria da Fé,4014,61,104,28,2549,1129
Mariana,16127,145,576,115,9390,2895
Marilac,1312,32,67,8,866,390
Mário Campos,3875,62,148,59,2649,1141
Maripá de Minas,891,21,9,7,429,167
Marliéria,1257,18,66,12,741,304
Marmelópolis,911,15,27,27,474,243
Martinho Campos,4154,104,141,17,2155,1089
Martins Soares,2208,84,83,72,1479,1048
Mata Verde,2240,98,171,26,1642,798
