Índice de Gini da renda domiciliar per capita segundo Município - Minas Gerais;;;
Período: 1991, 2000 e 2010;;;
313865 Lontra;...;0,549;0,5135
313867 Luisburgo;...;0,6047;0,52
313868 Luislândia;...;0,4376;0,5867
313870 Luminárias;0,5022;0,6365;0,4085
313880 Luz;0,7007;0,6753;0,503
313890 Machacalis;0,6038;0,5327;0,4852
313900 Machado;0,5931;0,5702;0,5218
313910 Madre de Deus de Minas;0,6259;0,5399;0,5208
313920 Malacacheta;0,5446;0,6715;0,5399
313925 Mamonas;...;0,5341;0,4603
313930 Manga;0,6547;0,5776;0,6867
313940 Manhuaçu;0,5698;0,6;0,5063
313950 Manhumirim;0,5887;0,5393;0,4914
313960 Mantena;0,6321;0,6854;0,5233
313980 Mar de Espanha;0,5708;0,5557;0,404
313970 Maravilhas;0,6216;0,4824;0,3961
313990 Maria da Fé;0,5481;0,5952;0,4863
314000 Mariana;0,5939;0,5715;0,5116
314010 Marilac;0,5356;0,5612;0,4673
314015 Mário Campos;...;0,4756;0,4741
314020 Maripá de Minas;0,5081;0,6348;0,4235
314030 Marliéria;0,5624;0,5464;0,4115
314040 Marmelópolis;0,4164;0,5683;0,4586
314050 Martinho Campos;0,5147;0,5501;0,4535
314053 Martins Soares;...;0,4366;0,4046
314055 Mata Verde;...;0,5346;0,4761
314060 Materlândia;0,6142;0,5773;0,4798
314070 Mateus Leme;0,5157;0,5229;0,5137
317150 Mathias Lobato;0,6104;0,6029;0,5777
314080 Matias Barbosa;0,5565;0,51;0,497
314085 Matias Cardoso;...;0,5859;0,5709
314090 Matipó;0,5514;0,554;0,4889
314100 Mato Verde;0,5356;0,6174;0,4608
314110 Matozinhos;0,5011;0,5081;0,4415
314120 Matutina;0,5896;0,4937;0,5982
314130 Medeiros;0,5934;0,531;0,4673
314140 Medina;0,6203;0,5773;0,5871
314150 Mendes Pimentel;0,6007;0,6113;0,485
314160 Mercês;0,5488;0,5834;0,589
314170 Mesquita;0,4983;0,6037;0,4773
314180 Minas Novas;0,529;0,5326;0,5014
314190 Minduri;0,515;0,5464;0,4902
314200 Mirabela;0,5754;0,5827;0,4864
314210 Miradouro;0,6013;0,5272;0,5215
314220 Miraí;0,5815;0,5431;0,4561
314225 Miravânia;...;0,7186;0,4892
314230 Moeda;0,4838;0,4338;0,4385
314240 Moema;0,4449;0,4941;0,3857
314250 Monjolos;0,5737;0,6831;0,48
314260 Monsenhor Paulo;0,6503;0,5228;0,4054
314270 Montalvânia;0,6509;0,623;0,5439
314280 Monte Alegre de Minas;0,615;0,5691;0,4905
314290 Monte Azul;0,526;0,5766;0,5191
314300 Monte Belo;0,4277;0,4628;0,4575
314310 Monte Carmelo;0,5735;0,521;0,4979
314315 Monte Formoso;...;0,6477;0,5906
314320 Monte Santo de Minas;0,5656;0,5244;0,4233
314340 Monte Sião;0,5455;0,5293;0,4478
314330 Montes Claros;0,6139;0,6164;0,5391
314345 Montezuma;...;0,6653;0,4578
314350 Morada Nova de Minas;0,5561;0,5341;0,4569
314360 Morro da Garça;0,4783;0,5761;0,4732
314370 Morro do Pilar;0,506;0,6003;0,485
314380 Munhoz;0,4998;0,5892;0,4901
314390 Muriaé;0,6152;0,557;0,5167
314400 Mutum;0,5388;0,6212;0,496
314410 Muzambinho;0,5124;0,5603;0,4675
314420 Nacip Raydan;0,5474;0,5715;0,6059
314430 Nanuque;0,6118;0,6704;0,5149
314435 Naque;...;0,5386;0,4389
314437 Natalândia;...;0,5657;0,4083
314440 Natércia;0,4656;0,5984;0,4043
314450 Nazareno;0,4554;0,4899;0,4796
314460 Nepomuceno;0,6574;0,5709;0,4488
314465 Ninheira;...;0,5008;0,5275
314467 Nova Belém;...;0,7026;0,5147
314470 Nova Era;0,5336;0,5505;0,474
314480 Nova Lima;0,5603;0,6284;0,6914
314490 Nova Módica;0,6285;0,5858;0,5078
314500 Nova Ponte;0,5146;0,6048;0,5315
314505 Nova Porteirinha;...;0,6204;0,4077
314510 Nova Resende;0,5703;0,5029;0,4655
314520 Nova Serrana;0,4349;0,6135;0,3606
313660 Nova União;0,4832;0,5952;0,4223
314530 Novo Cruzeiro;0,5225;0,7495;0,5383
314535 Novo Oriente de Minas;...;0,601;0,5621
314537 Novorizonte;...;0,4674;0,4386
314540 Olaria;0,5594;0,5572;0,4222
314545 Olhos-d'Água;...;0,437;0,4617
314550 Olímpio Noronha;0,6329;0,4056;0,4065
314560 Oliveira;0,5636;0,5504;0,458
314570 Oliveira Fortes;0,4904;0,4961;0,4416
314580 Onça de Pitangui;0,4478;0,5124;0,4376
314585 Oratórios;...;0,3729;0,3952
314587 Orizânia;...;0,5381;0,5562
314590 Ouro Branco;0,5346;0,5549;0,5211
314600 Ouro Fino;0,5701;0,5369;0,4623
314610 Ouro Preto;0,5869;0,5622;0,5109
